,nameOfIssuer,titleOfClass,cusip,value
0,10X GENOMICS INC,CL A COM,88025U109,475323
1,1LIFE HEALTHCARE INC,COM,68269G107,331008
2,360 DIGITECH INC,AMERICAN DEP,88557W101,25306218
3,3M CO,COM,88579Y101,3448420
4,ABBOTT LABS,COM,002824100,243820644
5,ABBVIE INC,COM,00287Y109,4864784
6,ACADIA HEALTHCARE COMPANY IN,COM,00404A109,8110413
7,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,12464897
8,ACCOLADE INC,COM,00437E102,598467
9,ACTIVISION BLIZZARD INC,COM,00507V109,7695189
10,ADAPTHEALTH CORP,COMMON STOCK,00653Q102,1609425
11,ADDUS HOMECARE CORP,COM,006739106,1864741
12,ADOBE SYSTEMS INCORPORATED,COM,00724F101,5146217
13,ADTALEM GLOBAL ED INC,COM,00737L103,7341542
14,AES CORP,COM,00130H105,3864481
15,AFFILIATED MANAGERS GROUP IN,COM,008252108,3342873
16,AFLAC INC,COM,001055102,13366740
17,AGILENT TECHNOLOGIES INC,COM,00846U101,1270529
18,AGILON HEALTH INC,COM,00857U107,3893307
19,AGNC INVT CORP,COM,00123Q104,2188125
20,AGNICO EAGLE MINES LTD,COM,008474108,7291546
21,AGORA INC,ADS,00851L103,633490
22,AGREE RLTY CORP,COM,008492100,18970512
23,AIRBNB INC,COM CL A,009066101,10268721
24,AKAMAI TECHNOLOGIES INC,COM,00971T101,3965725
25,ALAMOS GOLD INC NEW,COM CL A,011532108,8775844
26,ALBEMARLE CORP,COM,012653101,318134
27,ALBERTSONS COS INC,COMMON STOCK,013091103,6760265
28,ALCOA CORP,COM,013872106,374673
29,ALEXANDRIA REAL ESTATE EQ IN,COM,015271109,2703053
30,ALIGN TECHNOLOGY INC,COM,016255101,26345417
31,ALKERMES PLC,SHS,G01767105,1059232
32,ALLETE INC,COM NEW,018522300,855854
33,ALLIANT ENERGY CORP,COM,018802108,2355369
34,ALLISON TRANSMISSION HLDGS I,COM,01973R101,3640416
35,ALLSTATE CORP,COM,020002101,12590460
36,ALPHABET INC,CAP STK CL A,02079K305,65620004
37,ALTICE USA INC,CL A,02156K103,252862
38,ALTRIA GROUP INC,COM,02209S103,48883691
39,AMC ENTMT HLDGS INC,CL A COM,00165C104,260977
40,AMDOCS LTD,SHS,G02602103,11954259
41,AMEDISYS INC,COM,023436108,3358559
42,AMEREN CORP,COM,023608102,4393715
43,AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,202029
44,AMERICAN ELEC PWR CO INC,COM,025537101,15869563
45,AMERICAN EXPRESS CO,COM,025816109,232706
46,AMERICAN FINL GROUP INC OHIO,COM,025932104,3132730
47,AMERICAN HOMES 4 RENT,CL A,02665T306,43855719
48,AMERICAN INTL GROUP INC,COM NEW,026874784,11408243
49,AMERICAN TOWER CORP NEW,COM,03027X100,20958674
50,AMERICAN WELL CORP,CL A,03044L105,1293188
51,AMERICAN WTR WKS CO INC NEW,COM,030420103,14544069
52,AMERIPRISE FINL INC,COM,03076C106,11855724
53,AMERISOURCEBERGEN CORP,COM,03073E105,46568487
54,AMGEN INC,COM,031162100,3106243
55,AMN HEALTHCARE SVCS INC,COM,001744101,5800385
56,ANGI INC,COM CL A NEW,00183L102,49477
57,ANGIODYNAMICS INC,COM,03475V101,618617
58,ANNALY CAPITAL MANAGEMENT IN,COM NEW,035710839,777789
59,ANTERO RESOURCES CORP,COM,03674X106,262144
60,AON PLC,SHS CL A,G0403H108,19232371
61,APA CORPORATION,COM,03743Q108,14534938
62,APOLLO MED HLDGS INC,COM NEW,03763A207,1160549
63,APPLE INC,COM,037833100,2140337
64,APTIV PLC,SHS,G6095L109,566696
65,ARCH CAP GROUP LTD,ORD,G0450A105,16331526
66,ARCHER DANIELS MIDLAND CO,COM,039483102,31511804
67,ARES CAPITAL CORP,COM,04010L103,3392348
68,ARISTA NETWORKS INC,COM,040413106,678711
69,ARMSTRONG WORLD INDS INC NEW,COM,04247X102,339520
70,ARROW ELECTRS INC,COM,042735100,5448202
71,ASBURY AUTOMOTIVE GROUP INC,COM,043436104,562666
72,ASSOCIATED BANC CORP,COM,045487105,1253487
73,ASSURANT INC,COM,04621X108,6858040
74,ASTRAZENECA PLC,SPONSORED ADR,046353108,6076100
75,ATLASSIAN CORPORATION,CL A,049468101,345634
76,ATMOS ENERGY CORP,COM,049560105,2562593
77,ATRICURE INC,COM,04963C209,2379389
78,ATRION CORP,COM,049904105,896239
79,AURORA INNOVATION INC,CLASS A COM,051774107,103578
80,AUTOHOME INC,SP ADS RP CL A,05278C107,6305252
81,AUTOLIV INC,COM,052800109,554056
82,AUTOMATIC DATA PROCESSING IN,COM,053015103,16847751
83,AUTONATION INC,COM,05329W102,3769664
84,AUTOZONE INC,COM,053332102,13729224
85,AVALONBAY CMNTYS INC,COM,053484101,15592010
86,AVANGRID INC,COM,05351W103,3801581
87,AVANOS MED INC,COM,05350V106,1468411
88,AVANTOR INC,COM,05352A100,2214408
89,AVERY DENNISON CORP,COM,053611109,3894577
90,AVISTA CORP,COM,05379B107,778965
91,AVNET INC,COM,053807103,2552638
92,AXONICS INC,COM,05465P101,3621988
93,BAIDU INC,SPON ADR REP A,056752108,80348862
94,BANK AMERICA CORP,COM,060505104,106170664
95,BANK HAWAII CORP,COM,062540109,1118260
96,BANK NEW YORK MELLON CORP,COM,064058100,18424903
97,BANK OZK LITTLE ROCK ARK,COM,06417N103,1704152
98,BAOZUN INC,SPONSORED ADR,06684L103,390637
99,BARRICK GOLD CORP,COM,067901108,12766480
100,BAUSCH HEALTH COS INC,COM,071734107,529290
101,BAXTER INTL INC,COM,071813109,38298042
102,BECTON DICKINSON & CO,COM,075887109,92707099
103,BEIGENE LTD,SPONSORED ADR,07725L102,41428998
104,BELLRING BRANDS INC,COMMON STOCK,07831C103,6935184
105,BENTLEY SYS INC,COM CL B,08265T208,2989990
106,BERKLEY W R CORP,COM,084423102,4333372
107,BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,111478612
108,BERRY GLOBAL GROUP INC,COM,08579W103,5129661
109,BEYOND MEAT INC,COM,08862E109,1444000
110,BIO RAD LABS INC,CL A,090572207,5034947
111,BIOGEN INC,COM,09062X103,30681905
112,BIOMARIN PHARMACEUTICAL INC,COM,09061G101,11009163
113,BIO-TECHNE CORP,COM,09073M104,467858
114,BJS RESTAURANTS INC,COM,09180C106,1145446
115,BJS WHSL CLUB HLDGS INC,COM,05550J101,15999804
116,BLACK KNIGHT INC,COM,09215C105,14494701
117,BLACKROCK INC,COM,09247X101,13874975
118,BLACKSTONE INC,COM,09260D107,1825816
119,BLOCK H & R INC,COM,093671105,5039694
120,BLOCK INC,CL A,852234103,54741055
121,BOEING CO,COM,097023105,1233613
122,BOK FINL CORP,COM NEW,05561Q201,2535071
123,BOOKING HOLDINGS INC,COM,09857L108,67397009
124,BOSTON BEER INC,CL A,100557107,7758548
125,BOSTON PROPERTIES INC,COM,101121101,2768280
126,BOSTON SCIENTIFIC CORP,COM,101137107,90006394
127,BRANDYWINE RLTY TR,SH BEN INT NEW,105368203,213792
128,BRIGHT HORIZONS FAM SOL IN D,COM,109194100,8140215
129,BRINKS CO,COM,109696104,1415259
130,BRISTOL-MYERS SQUIBB CO,COM,110122108,63987365
131,BROADCOM INC,COM,11135F101,283479
132,BROADRIDGE FINL SOLUTIONS IN,COM,11133T103,3329375
133,BROWN & BROWN INC,COM,115236101,6599234
134,BROWN FORMAN CORP,CL B,115637209,53429629
135,BRUKER CORP,COM,116794108,533130
136,BRUNSWICK CORP,COM,117043109,3451262
137,BUILDERS FIRSTSOURCE INC,COM,12008R107,9074830
138,BUNGE LIMITED,COM,G16962105,7274929
139,BURNING ROCK BIOTECH LTD,SPONSORED ADS,12233L107,191891
140,CABLE ONE INC,COM,12685J105,322473
141,CAL MAINE FOODS INC,COM NEW,128030202,4286032
142,CALIFORNIA WTR SVC GROUP,COM,130788102,1996208
143,CAMDEN PPTY TR,SH BEN INT,133131102,4168649
144,CAMPBELL SOUP CO,COM,134429109,25890144
145,CANADIAN NATL RY CO,COM,136375102,13798326
146,CANADIAN PAC RY LTD,COM,13645T100,14484180
147,CAPITAL ONE FINL CORP,COM,14040H105,400936
148,CAPITOL FED FINL INC,COM,14057J101,416247
149,CARDINAL HEALTH INC,COM,14149Y108,18447570
150,CARDIOVASCULAR SYS INC DEL,COM,141619106,649415
151,CARLISLE COS INC,COM,142339100,698231
152,CASEYS GEN STORES INC,COM,147528103,16966693
153,CASTLE BIOSCIENCES INC,COM,14843C105,686591
154,CATALENT INC,COM,148806102,1345169
155,CBOE GLOBAL MKTS INC,COM,12503M108,56713444
156,CELANESE CORP DEL,COM,150870103,755963
157,CELSIUS HLDGS INC,COM NEW,15118V207,8266082
158,CENOVUS ENERGY INC,COM,15135U109,26259782
159,CENTENE CORP DEL,COM,15135B101,12305518
160,CENTERPOINT ENERGY INC,COM,15189T107,2693192
161,CENTRAL GARDEN & PET CO,CL A NON-VTG,153527205,3756029
162,CERTARA INC,COM,15687V109,4857350
163,CERUS CORP,COM,157085101,741742
164,CF INDS HLDGS INC,COM,125269100,11636872
