,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
cik,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709
fillingDate,2023-02-24,2022-02-24,2021-02-24,2020-02-26,2019-02-22,2018-02-22,2017-02-23,2016-02-24,2015-02-23,2014-02-24,2013-02-22,2012-02-24,2011-02-25,2010-02-25,2009-02-25,2008-02-27,2007-02-26,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2002-08-13,2001-03-28,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31
acceptedDate,2023-02-24 16:18:16,2022-02-24 16:32:07,2021-02-24 16:20:04,2020-02-26 17:31:13,2019-02-22 16:27:02,2018-02-22 17:15:24,2017-02-23 17:22:58,2016-02-24 17:17:09,2015-02-23 16:35:14,2014-02-24 15:26:41,2013-02-22 16:58:36,2012-02-24 15:33:46,2011-02-25 13:03:00,2010-02-25 14:43:13,2009-02-25 16:15:19,2008-02-26 19:50:07,2007-02-26 16:33:29,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2002-08-13 17:26:14,2001-03-28 00:00:00,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31
calendarYear,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
netIncome,7183000000,5855000000,3299000000,3704000000,3507000000,2354000000,1889000000,1447000000,1321000000,1071000000,928000000,864000000,454000000,787000000,1212000000,2407000000,1227000000,725000000,286000000,472000000,109000000,199000000,718137000,588900000,348500000,270300000,233800000,172600000,135300000,117700000,81200000,49500000,16800000,18900000,7400000,8200000,32000000
depreciationAndAmortization,1248000000,1164000000,604000000,349000000,306000000,269000000,234000000,224000000,199000000,202000000,196000000,155000000,146000000,159000000,152000000,156000000,157000000,208000000,226000000,284000000,321000000,404000000,310903000,156700000,138500000,124700000,98300000,68700000,54600000,44400000,40500000,51900000,49100000,52500000,44000000,38000000,10000000
deferredIncomeTax,-18000000,53000000,-138000000,2000000,49000000,58000000,15000000,-7000000,-25000000,-21000000,5000000,0,-51000000,16000000,97000000,175000000,-31000000,13000000,-4000000,27000000,4000000,-79000000,-26724000,-3600000,-6200000,-29100000,-5200000,-7000000,3800000,-5400000,-7100000,-600000,-700000,1400000,2000000,3000000,-8000000
stockBasedCompensation,366000000,254000000,204000000,183000000,197000000,153000000,141000000,135000000,115000000,116000000,105000000,99000000,87000000,75000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
changeInWorkingCapital,-8587000000,-7926000000,948000000,4442000000,7910000000,-1964000000,113000000,-700000000,623000000,102000000,-336000000,971000000,-668000000,403000000,-1610000000,-60000000,694000000,-354000000,159000000,-776000000,-386000000,-1132000000,259318000,406600000,3630000000,-100800000,1810700000,1220300000,-5100000,6100000,177700000,47000000,-19400000,10100000,-653000000,762000000,6000000
accountsReceivables,23947000000,0,-14609000000,-125000000,-1100000000,-3428000000,150000000,-1652000000,-1725000000,-496000000,-2391000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000000,25000000,0
inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accountsPayables,-28233000000,0,22909000000,6494000000,1483000000,-4651000000,2709000000,-1120000000,-1028000000,-4997000000,4950000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherWorkingCapital,0,-3398000000,-10208000000,-977000000,6922000000,6945000000,-2492000000,1166000000,2773000000,5035000000,-2592000000,-55964000000,-55198000000,5305000000,4414000000,4025000000,4790000000,3984000000,3104000000,3298000000,3182000000,3207000000,3358856000,-2571800000,1336900000,1107500000,754500000,554600000,-7280000000,-6332000000,-5494000000,194500000,-3908000000,-3178000000,-1372000000,-719000000,-1481000000
otherNonCashItems,1865000000,2718000000,1935000000,645000000,487000000,393000000,270000000,147000000,115000000,186000000,368000000,375000000,23000000,-3000000,151000000,-932000000,-287000000,83000000,19000000,0,121000000,24000000,377752000,32400000,-3392700000,3000000,-1779900000,-1207300000,17300000,-31000000,-171600000,-40600000,5500000,200000,633600000,-758200000,2000000
netCashProvidedByOperatingActivities,2057000000,2118000000,6852000000,9325000000,12456000000,1263000000,2662000000,1246000000,2348000000,1656000000,1266000000,2464000000,-9000000,1437000000,2000000,1746000000,1760000000,675000000,686000000,7000000,169000000,-584000000,1639386000,1181000000,718100000,268100000,357700000,247300000,205900000,131800000,120700000,107200000,51300000,83100000,34000000,53000000,42000000
investmentsInPropertyPlantAndEquipment,-971000000,-916000000,-631000000,-708000000,-570000000,-400000000,-346000000,-266000000,-400000000,-249000000,-148000000,-180000000,-129000000,-140000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7000000,-13000000,-12000000
acquisitionsNet,0,0,0,0,0,0,0,0,0,0,-80000000,54000000,-44000000,0,-5000000,3118000000,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purchasesOfInvestments,-51009000000,-171732000000,-202171000000,-51256000000,-73674000000,-47958000000,-60410000000,-40654000000,-22054000000,-39003000000,-37713000000,-20687000000,-30603000000,-19812000000,-10084000000,-3554000000,-3224000000,-3342000000,-3387000000,-3264000000,-1147000000,-1025000000,-545436000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salesMaturitiesOfInvestments,90360000000,0,68048000000,65717000000,33541000000,29339000000,23187000000,13304000000,15086000000,20834000000,22656000000,13264000000,16804000000,7309000000,2017000000,2034000000,935000000,1758000000,1840000000,1216000000,1051000000,1133000000,320472000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherInvestingActivites,-6332000000,96985000000,8903000000,-1789000000,148000000,-1454000000,-1206000000,-1007000000,-1027000000,-1632000000,-975000000,-1118000000,-1438000000,-1414000000,-2829000000,-1231000000,-951000000,-1788000000,-1011000000,-1640000000,-643000000,-915000000,-1197897000,-373700000,-186900000,-140600000,-164500000,-273500000,-73800000,-70900000,-49600000,-37100000,-21200000,-33000000,1000000,-92000000,0
netCashUsedForInvestingActivites,32048000000,-75663000000,-125851000000,11964000000,-40555000000,-20473000000,-38775000000,-28623000000,-8395000000,-20050000000,-16260000000,-8667000000,-15410000000,-14057000000,-10901000000,367000000,-3240000000,-3368000000,-2558000000,-3688000000,-739000000,-807000000,-1422861000,-373700000,-186900000,-140600000,-164500000,-273500000,-73800000,-70900000,-49600000,-37100000,-21200000,-33000000,-6000000,-105000000,-12000000
debtRepayment,-7547000000,-1822000000,-700000000,0,-909000000,-257000000,-8511000000,-357000000,-6000000,-306000000,-732000000,-116000000,-205000000,-80000000,-20000000,-43000000,-68000000,-56000000,-315000000,-100000000,-214000000,-40000000,-58903000,-40100000,-40000000,-33600000,-27500000,-2800000,-35900000,-128000000,-22700000,-6700000,-8100000,-20800000,0,0,0
commonStockIssued,0,0,0,0,0,0,0,0,0,0,0,0,543000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commonStockRepurchased,-4395000000,0,0,-2220000000,-1000000000,-485000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dividendsPaid,-2110000000,-1822000000,-1280000000,-1060000000,-787000000,-592000000,-486000000,-387000000,-373000000,-368000000,-337000000,-295000000,-288000000,-279000000,-253000000,-1500000000,-173000000,-116000000,-101000000,-68000000,-60000000,-61000000,-62366000,-45500000,-43100000,-37100000,-31500000,-24200000,-16000000,-10900000,-8400000,-4900000,-3300000,-2300000,0,0,0
otherFinancingActivites,-54671000000,99967000000,145962000000,-10659000000,49862000000,23933000000,43960000000,28736000000,10061000000,14133000000,20047000000,10362000000,12059000000,15778000000,9850000000,1687000000,4323000000,2417000000,2281000000,3567000000,-452000000,1025000000,598237000,199100000,-89400000,107300000,43700000,102500000,20600000,153600000,13800000,1500000,-31800000,-4800000,-84000000,193000000,5000000
netCashUsedProvidedByFinancingActivities,-68723000000,96323000000,143982000000,-13939000000,47166000000,22599000000,34963000000,27992000000,9682000000,13459000000,18978000000,9951000000,12109000000,15419000000,9577000000,144000000,4082000000,2245000000,1865000000,3399000000,-726000000,924000000,476968000,113500000,-172500000,36600000,-15300000,75500000,-31300000,14700000,-17300000,-10100000,-43200000,-27900000,-84000000,193000000,5000000
effectOfForexChangesOnCash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,-2000000,-3689000,2400000,-200000,100000,500000,-700000,0,0,0,0,0,0,0,0,0
netChangeInCash,-34618000000,22778000000,24983000000,7350000000,19067000000,3389000000,-1150000000,615000000,3635000000,-4935000000,3984000000,3748000000,-3310000000,2799000000,-1322000000,2257000000,2602000000,-448000000,-7000000,-282000000,-1293000000,-469000000,689804000,923200000,358500000,164100000,178300000,48700000,0,-100000,0,100000,100000,0,-56000000,141000000,36000000
cashAtEndOfPeriod,58720000000,93338000000,70560000000,45577000000,38227000000,14217000000,10828000000,11978000000,11363000000,7728000000,12663000000,8679000000,4931000000,8241000000,5442000000,6764000000,4507000000,2330000000,2778000000,2832000000,3114000000,4407000000,3302255000,2079100000,1155900000,797400000,633300000,429300000,0,0,0,0,0,0,81000000,653000000,36000000
cashAtBeginningOfPeriod,93338000000,70560000000,45577000000,38227000000,19160000000,10828000000,11978000000,11363000000,7728000000,12663000000,8679000000,4931000000,8241000000,5442000000,6764000000,4507000000,1905000000,2778000000,2785000000,3114000000,4407000000,4876000000,2612451000,1155900000,797400000,633300000,455000000,380600000,279800000,204300000,150500000,90400000,103400000,81300000,137000000,512000000,0
operatingCashFlow,2057000000,2118000000,6852000000,9325000000,12456000000,1263000000,2662000000,1246000000,2348000000,1656000000,1266000000,2464000000,-9000000,1437000000,2000000,1746000000,1760000000,675000000,686000000,7000000,169000000,-584000000,1639386000,1181000000,718100000,268100000,357700000,247300000,205900000,131800000,120700000,107200000,51300000,83100000,34000000,53000000,42000000
capitalExpenditure,-971000000,-916000000,-631000000,-708000000,-570000000,-400000000,-346000000,-266000000,-400000000,-249000000,-148000000,-180000000,-129000000,-140000000,-188000000,-168000000,-59000000,-120000000,-194000000,-153000000,-160000000,-301000000,-704558000,-283000000,-185500000,-139400000,-159800000,-165600000,-31500000,-77100000,-53500000,-27400000,-19300000,-33500000,-7000000,-13000000,-12000000
freeCashFlow,1086000000,1202000000,6221000000,8617000000,11886000000,863000000,2316000000,980000000,1948000000,1407000000,1118000000,2284000000,-138000000,1297000000,-186000000,1578000000,1701000000,555000000,492000000,-146000000,9000000,-885000000,934828000,898000000,532600000,128700000,197900000,81700000,174400000,54700000,67200000,79800000,32000000,49600000,27000000,40000000,30000000
link,https://www.sec.gov/Archives/edgar/data/316709/000031670923000009/0000316709-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670922000009/0000316709-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670921000012/0000316709-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670920000012/schw-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670919000008/schw-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670918000009/schw-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670917000010/schw-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670916000067/schw-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670915000014/schw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670914000005/schw-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312513071646/d455860d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312512077926/d264447d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312511046932/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312510040444/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312509037420/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312508039024/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312507039782/d10k.htm,,,,,https://www.sec.gov/Archives/edgar/data/316709/000031670902000028/0000316709-02-000028-index.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670901000010/0000316709-01-000010-index.htm,,,,,,,,,,,,,,
finalLink,https://www.sec.gov/Archives/edgar/data/316709/000031670923000009/schw-20221231.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670922000009/schw-20211231.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670921000012/schw-20201231.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670920000012/schw-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670919000008/schw-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670918000009/schw-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670917000010/schw-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670916000067/schw-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670915000014/schw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000031670914000005/schw-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312513071646/d455860d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312512077926/d264447d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312511046932/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312510040444/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312509037420/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312508039024/d10k.htm,https://www.sec.gov/Archives/edgar/data/316709/000119312507039782/d10k.htm,,,,,https://www.sec.gov/Archives/edgar/data/316709/000031670902000028/body.txt,https://www.sec.gov/Archives/edgar/data/316709/000031670901000010/0000316709-01-000010-0001.txt,,,,,,,,,,,,,,
