,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,,29.766014418125643,,0.34571234376770005,0.3529031250697062,0.29389203706312456,0.4342016321012569,0.4657405030417729,0.4715897406805982,0.4539776487862028,0.48324640236386934,0.4343528270229841,0.34632055138438217,1.0769320011021362,1.0944555006312726,1.1068915150710397,1.1098724653637948,1.0938759160206415,1.0736207959774204,1.0811655550906898,1.0907794134428848,1.0901577127435271,1.1013107317367437,0.9176444216728576,1.0652623871125213,1.0739516559829059,1.0596914556962025,1.0573348495813089,0,0,0,1.0413214361589123,0,0,0.3880463871543265,0.5725326991676576
quickRatio,,42.73717816683831,,0.43013631386172263,0.4376287241715182,0.39222110634971846,0.523389206187486,0.5740144834956209,0.5873013621891464,0.5652848676652947,0.5970402657720532,0.2019547595463826,0.4657634826271287,0.5191786185593921,0.28524962016648475,0.5259062541495153,0.36893292962657126,0.3282358208251844,0.3107300412693895,0.29456353210444713,0.2904541823576401,0.40687638806893256,0.6027196416721964,0.6283463558345075,0.5436319257993654,0.5886752136752137,0.4649525316455696,0.4670216065336504,0.465728021978022,0.4587334175615919,0.3924645067346196,0.3188655194391332,0.023132036847492324,0.032536186280679676,0.3679750223015165,0.5463733650416172
cashRatio,,12.971163748712668,,0.11080693274931087,0.10386414162818883,0.06460598844844745,0.05303839258598901,0.0715100208356965,0.08057550895953143,0.058791756373291135,0.10336214707250778,0.0877216034284097,0.327798962601549,0.38595066490711605,0.11645374590742762,0.1796308591156553,0.10338104413248922,0.054902330403638164,0.06588871495659598,0.06969704427435829,0.08883943854844231,0.1238930589525175,0.09960351692103517,0.06657807096195721,0.05642665364901147,0.053245192307692306,0.05010284810126582,0.04438126744546676,0.05228021978021978,0.04418825015792798,0.03718602111394248,0.031973656256639046,0.023132036847492324,0.032536186280679676,0.03612845673505798,0.08145065398335315
daysOfSalesOutstanding,1252.4306425199884,1784.8933585313175,2121.345907108032,788.0132450331126,835.7678641926569,935.9636806683685,911.3522012578617,1061.588946459413,1005.46828543112,1004.7911299227088,1069.742804654011,870.3016877637132,1034.1074902723735,781.4623630855278,559.0524271844661,952.9905887064477,980.6463216523555,948.4767025089606,896.6908614945264,816.0031808172254,623.8101571946796,844.0362968067999,1051.9490342454997,1623.189642060434,1331.352240333309,1273.1812249869497,1034.0647792965585,1050.9141488837242,1031.9495585196319,992.8378238341969,950.5583722481655,865.4890254609306,0,0,,
daysOfInventoryOutstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operatingCycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daysOfPayablesOutstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashConversionCycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
operatingProfitMargin,0,0.4164686825053996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
