,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
cik,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709,0000316709
fillingDate,2023-02-24,2022-02-24,2021-02-24,2020-02-26,2019-02-22,2018-02-22,2017-02-23,2016-02-24,2015-02-23,2014-02-24,2013-02-22,2012-02-24,2011-02-25,2010-02-25,2009-02-25,2008-02-27,2007-02-26,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2002-08-13,2001-03-28,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31,1985-12-31,1984-12-31
acceptedDate,2023-02-24 16:18:16,2022-02-24 16:32:07,2021-02-24 16:20:04,2020-02-26 17:31:13,2019-02-22 16:27:02,2018-02-22 17:15:24,2017-02-23 17:22:58,2016-02-24 17:17:09,2015-02-23 16:35:14,2014-02-24 15:26:41,2013-02-22 16:58:36,2012-02-24 15:33:46,2011-02-25 13:03:00,2010-02-25 14:43:13,2009-02-25 16:15:19,2008-02-26 19:50:07,2007-02-26 16:33:29,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2002-08-13 17:26:14,2001-03-28 00:00:00,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31,1985-12-31,1984-12-31
calendarYear,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenue,20762000000,18520000000,11691000000,10721000000,10132000000,8618000000,7473000000,6369000000,6054000000,5434000000,4899000000,4740000000,4112000000,4291000000,5150000000,4994000000,4309000000,4464000000,4202000000,4087000000,4135000000,4353000000,5787651000,3944800000,2736200000,2298800000,1850900000,1419900000,1064600000,965000000,749500000,569500000,387400000,345900000,0,0,257000000,160000000,112000000
costOfRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000,8000000,0
grossProfit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244000000,152000000,112000000
grossProfitRatio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9494163424124513,0.95,1
researchAndDevelopmentExpenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generalAndAdministrativeExpenses,5936000000,6312000000,4470000000,3695000000,3488000000,3147000000,2703000000,2474000000,2407000000,2247000000,2023000000,1952000000,2100000000,1750000000,1667000000,1781000000,1619000000,1902000000,1877000000,1771000000,1854000000,1875000000,2414480000,1624500000,1162800000,961800000,766300000,594100000,437100000,392800000,306600000,234400000,155100000,130700000,0,0,168000000,124000000,104000000
sellingAndMarketingExpenses,419000000,485000000,326000000,307000000,313000000,268000000,265000000,249000000,245000000,257000000,241000000,228000000,196000000,191000000,243000000,230000000,189000000,178000000,184000000,139000000,211000000,246000000,332311000,241900000,155000000,129600000,84000000,52800000,106700000,40700000,33800000,25200000,19900000,18400000,0,0,0,0,0
sellingGeneralAndAdministrativeExpenses,6355000000,6797000000,4796000000,4002000000,3801000000,3415000000,2968000000,2723000000,2652000000,2504000000,2264000000,2180000000,2296000000,1941000000,1910000000,2011000000,1808000000,2080000000,2061000000,1910000000,2065000000,2121000000,2746791000,1866400000,1317800000,1091400000,850300000,646900000,543800000,433500000,340400000,259600000,175000000,149100000,0,0,168000000,124000000,104000000
