Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"21,260,064,907.20",6.94,"21,260,064,907.20","132,214,334.00",160.8,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"18,715,926,237.78",6.11,"18,715,926,237.78","66,173,766.00",282.83,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"7,918,998,728.80",2.59,"7,918,998,728.80","79,253,390.00",99.92,United States,NASDAQ,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"5,941,549,758.33",1.94,"5,941,549,758.33","21,868,857.00",271.69,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"5,578,018,808.95",1.82,"5,578,018,808.95","52,947,497.00",105.35,United States,NASDAQ,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"5,024,497,765.60",1.64,"5,024,497,765.60","16,016,888.00",313.7,United States,New York Stock Exchange Inc.,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"4,898,194,635.60",1.6,"4,898,194,635.60","46,157,130.00",106.12,United States,NASDAQ,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"4,465,951,649.76",1.46,"4,465,951,649.76","23,908,944.00",186.79,United States,NASDAQ,USD,1,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"4,327,256,528.41",1.41,"4,327,256,528.41","8,306,153.00",520.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"4,231,351,579.00",1.38,"4,231,351,579.00","19,786,540.00",213.85,United States,NASDAQ,USD,1,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"4,222,744,911.75",1.38,"4,222,744,911.75","36,608,105.00",115.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,817,993,729.95",1.25,"3,817,993,729.95","23,242,185.00",164.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,351,226,730.04",1.09,"3,351,226,730.04","26,075,527.00",128.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Financials,Equity,"3,300,071,276.70",1.08,"3,300,071,276.70","14,445,486.00",228.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"3,159,680,239.62",1.03,"3,159,680,239.62","20,972,257.00",150.66,United States,New York Stock Exchange Inc.,USD,1,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"2,731,147,233.49",0.89,"2,731,147,233.49","7,500,473.00",364.13,United States,New York Stock Exchange Inc.,USD,1,USD,-
CVX,CHEVRON CORP,Energy,Equity,"2,676,123,090.42",0.87,"2,676,123,090.42","15,814,461.00",169.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"2,661,651,381.48",0.87,"2,661,651,381.48","9,060,324.00",293.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
LLY,ELI LILLY,Health Care,Equity,"2,552,246,579.84",0.83,"2,552,246,579.84","7,010,896.00",364.04,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"2,537,119,854.76",0.83,"2,537,119,854.76","15,721,402.00",161.38,United States,New York Stock Exchange Inc.,USD,1,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"2,535,423,246.51",0.83,"2,535,423,246.51","22,539,099.00",112.49,United States,New York Stock Exchange Inc.,USD,1,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"2,309,075,987.13",0.75,"2,309,075,987.13","3,714,909.00",621.57,United States,NASDAQ,USD,1,USD,-
