Security Name,Market Value       ,     Ticker     ,    CUSIP    
"Apple, Inc.","$24,164,927,786 ",AAPL,37833100
Microsoft Corp.,"$20,382,625,347 ",MSFT,594918104
"Amazon.com, Inc.","$9,168,344,744 ",AMZN,23135106
NVIDIA Corp.,"$6,337,217,891 ",NVDA,67066G104
"Tesla, Inc.","$6,052,910,398 ",TSLA,88160R101
"Berkshire Hathaway, Inc. Class B","$6,027,752,089 ",BRK.B,84670702
"Alphabet, Inc. Class A","$5,897,078,006 ",GOOGL,02079K305
"Alphabet, Inc. Class C","$5,241,435,778 ",GOOG,02079K107
Exxon Mobil Corp.,"$4,962,109,628 ",XOM,30231G102
"UnitedHealth Group, Inc.","$4,874,984,409 ",UNH,91324P102
JPMorgan Chase & Co.,"$4,609,481,177 ",JPM,46625H100
Johnson & Johnson,"$4,392,651,068 ",JNJ,478160104
"Meta Platforms, Inc. Class A","$4,312,480,403 ",META,30303M102
"Visa, Inc. Class A","$3,942,192,903 ",V,92826C839
Procter & Gamble Co.,"$3,573,529,966 ",PG,742718109
"The Home Depot, Inc.","$3,327,966,114 ",HD,437076102
"MasterCard, Inc. Class A","$3,306,309,910 ",MA,57636Q104
Chevron Corp.,"$3,135,307,441 ",CVX,166764100
"AbbVie, Inc.","$2,983,670,843 ",ABBV,00287Y109
"Merck & Co., Inc.","$2,952,879,712 ",MRK,58933Y105
Eli Lilly & Co.,"$2,690,682,387 ",LLY,532457108
"Broadcom, Inc.","$2,638,602,434 ",AVGO,11135F101
Bank of America Corp.,"$2,624,407,734 ",BAC,60505104
"PepsiCo, Inc.","$2,620,860,899 ",PEP,713448108
The Coca-Cola Co.,"$2,539,110,314 ",KO,191216100
"Pfizer, Inc.","$2,496,527,245 ",PFE,717081103
Costco Wholesale Corp.,"$2,349,276,221 ",COST,22160K105
"Thermo Fisher Scientific, Inc.","$2,329,281,409 ",TMO,883556102
"Walmart, Inc.","$2,199,120,069 ",WMT,931142103
"Cisco Systems, Inc.","$2,179,477,263 ",CSCO,17275R102
McDonald’s Corp.,"$2,118,996,728 ",MCD,580135101
The Walt Disney Co.,"$1,990,743,503 ",DIS,254687106
Wells Fargo & Co.,"$1,953,710,442 ",WFC,949746101
Abbott Laboratories,"$1,944,279,233 ",ABT,2824100
,,,
,,,
,,,
,,,
,,,
"Salesforce.com, Inc.","$1,793,584,114 ",CRM,79466L302
"Verizon Communications, Inc.","$1,786,840,925 ",VZ,92343V104
Danaher Corp.,"$1,777,835,462 ",DHR,235851102
Comcast Corp. Class A,"$1,757,846,539 ",CMCSA,20030N101
"Texas Instruments, Inc.","$1,705,809,371 ",TXN,882508104
"Philip Morris International, Inc.","$1,653,533,519 ",PM,718172109
"Adobe, Inc.","$1,651,008,907 ",ADBE,00724F101
"NIKE, Inc. Class B","$1,640,418,864 ",NKE,654106103
Bristol-Myers Squibb Co.,"$1,607,330,093 ",BMY,110122108
