Header,Country,Corporation,Ticker,Industry
Dow Jones Global Titans 50 Components,United States,3M,NYSE: MMM,Industrial Goods
Dow Jones Global Titans 50 Components,United States,AbbVie Inc.,NYSE: ABBV,Pharmaceutical
Dow Jones Global Titans 50 Components,Germany,Allianz,FWB: ALV,Insurance
Dow Jones Global Titans 50 Components,United States,Alphabet,Nasdaq:GOOGL,Technology
Dow Jones Global Titans 50 Components,United States,Amazon,Nasdaq: AMZN,Technology
Dow Jones Global Titans 50 Components,United States,Amgen,Nasdaq: AMGN,Pharmaceutical
Dow Jones Global Titans 50 Components,Belgium,Anheuser-Busch InBev,Euronext: ABI,Beverage
Dow Jones Global Titans 50 Components,United States,Apple,Nasdaq: AAPL,Technology
Dow Jones Global Titans 50 Components,Australia,BHP,ASX: BHP,Metals
Dow Jones Global Titans 50 Components,United States,The Boeing Company,NYSE: BA,Aerospace
Dow Jones Global Titans 50 Components,United Kingdom,BP,LSE: BP,Oil & Gas
Dow Jones Global Titans 50 Components,United Kingdom,British American Tobacco,LSE: BATS,Tobacco
Dow Jones Global Titans 50 Components,United States,Chevron Corporation,NYSE: CVX,Energy
Dow Jones Global Titans 50 Components,United States,Cisco Systems,Nasdaq: CSCO,Technology
Dow Jones Global Titans 50 Components,United States,Citigroup,NYSE: C,Banking
Dow Jones Global Titans 50 Components,United States,Coca-Cola,NYSE: KO,Food & Beverage
Dow Jones Global Titans 50 Components,United States,DuPont,NYSE: DD,Chemicals
Dow Jones Global Titans 50 Components,United States,ExxonMobil,NYSE: XOM,Energy
Dow Jones Global Titans 50 Components,United States,Meta,Nasdaq: FB,Technology
Dow Jones Global Titans 50 Components,United States,General Electric,NYSE: GE,Conglomerate
Dow Jones Global Titans 50 Components,United Kingdom,GlaxoSmithKline,LSE: GSK,Pharmaceutical
Dow Jones Global Titans 50 Components,United Kingdom,HSBC,LSE: HSBA,Banking
Dow Jones Global Titans 50 Components,United States,Intel,Nasdaq: INTC,Technology
Dow Jones Global Titans 50 Components,United States,IBM,NYSE: IBM,Technology
Dow Jones Global Titans 50 Components,United States,Johnson & Johnson,NYSE: JNJ,Pharmaceutical
Dow Jones Global Titans 50 Components,United States,JPMorgan Chase,NYSE: JPM,Banking
Dow Jones Global Titans 50 Components,United States,Mastercard,NYSE: MA,Banking
Dow Jones Global Titans 50 Components,United States,McDonald's,NYSE: MCD,Restaurant
Dow Jones Global Titans 50 Components,United States,Merck & Co.,NYSE: MRK,Pharmaceutical
Dow Jones Global Titans 50 Components,United States,Microsoft,Nasdaq: MSFT,Technology
Dow Jones Global Titans 50 Components,Switzerland,Nestlé,SIX: NESN,Food & Beverage
Dow Jones Global Titans 50 Components,Switzerland,Novartis,NYSE: NOVN,Pharmaceutical
Dow Jones Global Titans 50 Components,United States,Nvidia,Nasdaq: NVDA,Technology
Dow Jones Global Titans 50 Components,United States,Oracle Corporation,NYSE: ORCL,Technology
Dow Jones Global Titans 50 Components,United States,PepsiCo,Nasdaq: PEP,Food & Beverage
Dow Jones Global Titans 50 Components,United States,Pfizer,NYSE: PFE,Health Care
Dow Jones Global Titans 50 Components,United States,Philip Morris International,NYSE: PM,Tobacco
Dow Jones Global Titans 50 Components,United States,Procter & Gamble,NYSE: PG,Consumer Goods
Dow Jones Global Titans 50 Components,Switzerland,Roche,SIX: ROG,Health Care
Dow Jones Global Titans 50 Components,Canada,Royal Bank of Canada,TSX: RY,Banking
Dow Jones Global Titans 50 Components,United Kingdom,Royal Dutch Shell,Euronext: RDSA,Oil & Gas
Dow Jones Global Titans 50 Components,South Korea,Samsung Electronics,LSE: SMSN,Conglomerate
Dow Jones Global Titans 50 Components,France,Sanofi,Euronext: SAN,Pharmaceutical
Dow Jones Global Titans 50 Components,Germany,Siemens,FWB: SIE,Conglomerate
Dow Jones Global Titans 50 Components,Taiwan,Taiwan Semiconductor,NYSE: TSM,Technology
Dow Jones Global Titans 50 Components,France,TotalEnergies,Euronext: TOT,Energy
Dow Jones Global Titans 50 Components,United States,Visa,NYSE: V,Banking
Dow Jones Global Titans 50 Components,Japan,Toyota,TYO: 7203,Automobiles & Parts
Dow Jones Global Titans 50 Components,United States,Walmart,NYSE: WMT,Retail
Dow Jones Global Titans 50 Components,United States,The Walt Disney Company,NYSE: DIS,Entertainment
