,nameOfIssuer,titleOfClass,cusip,value
0,3M CO,COM,88579Y101,3448420
1,ABBVIE INC,COM,00287Y109,4864784
2,ALPHABET INC,CAP STK CL A,02079K305,65620004
3,CHEVRON CORP NEW,COM,166764100,56147344
4,CISCO SYS INC,COM,17275R102,48544445
5,CITIGROUP INC,COM NEW,172967424,58052886
6,COCA COLA CO,COM,191216100,535684109
7,EXXON MOBIL CORP,COM,30231G102,62932106
8,GENERAL ELECTRIC CO,COM NEW,369604301,3747592
9,INTERNATIONAL BUSINESS MACHS,COM,459200101,28666043
10,JOHNSON & JOHNSON,COM,478160104,630267415
11,JPMORGAN CHASE & CO,COM,46625H100,92844940
12,MASTERCARD INCORPORATED,CL A,57636Q104,96456477
13,MCDONALDS CORP,COM,580135101,416118877
14,MERCK & CO INC,COM,58933Y105,103601227
15,MICROSOFT CORP,COM,594918104,4056795
16,ORACLE CORP,COM,68389X105,254947
17,PEPSICO INC,COM,713448108,545697621
18,PFIZER INC,COM,717081103,140222769
19,PHILIP MORRIS INTL INC,COM,718172109,27687817
20,PROCTER AND GAMBLE CO,COM,742718109,757137228
21,VISA INC,COM CL A,92826C839,174265764
22,WALMART INC,COM,931142103,482087843
